,Game Title,Weekly Sales,All Time Sales,Weeks Out
0,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
1,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
2,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
4,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
5,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
6,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
7,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
8,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
9,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
10,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
11,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
12,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
13,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
14,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
15,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
16,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
17,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
18,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
19,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
20,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
21,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
22,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
23,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
24,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
25,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
26,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
27,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
28,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
29,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
30,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
31,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
32,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
33,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
34,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
35,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
36,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
37,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
38,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
39,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
40,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
41,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
42,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
43,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
44,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
45,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
46,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
47,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
48,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
49,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
50,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
51,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
52,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
53,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
54,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
55,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
56,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
57,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
58,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
59,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
60,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
61,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
62,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
63,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
64,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
65,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
66,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
67,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
68,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
69,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
70,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
71,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
